naics_code,industry_description,firm_size,number_of_firms
42445,Confectionery Merchant Wholesalers,20-99 employees,149
42445,Confectionery Merchant Wholesalers,100-499 employees,47
42445,Confectionery Merchant Wholesalers,500+ employees,26
424450,Confectionery Merchant Wholesalers,1-4 employees,1187
424450,Confectionery Merchant Wholesalers,4-9 employees,248
424450,Confectionery Merchant Wholesalers,10-19 employees,174
424450,Confectionery Merchant Wholesalers,20-99 employees,149
424450,Confectionery Merchant Wholesalers,100-499 employees,47
424450,Confectionery Merchant Wholesalers,500+ employees,26
42446,Fish and Seafood Merchant Wholesalers,1-4 employees,1095
42446,Fish and Seafood Merchant Wholesalers,4-9 employees,291
42446,Fish and Seafood Merchant Wholesalers,10-19 employees,214
42446,Fish and Seafood Merchant Wholesalers,20-99 employees,232
42446,Fish and Seafood Merchant Wholesalers,100-499 employees,28
42446,Fish and Seafood Merchant Wholesalers,500+ employees,13
424460,Fish and Seafood Merchant Wholesalers,1-4 employees,1095
424460,Fish and Seafood Merchant Wholesalers,4-9 employees,291
424460,Fish and Seafood Merchant Wholesalers,10-19 employees,214
424460,Fish and Seafood Merchant Wholesalers,20-99 employees,232
424460,Fish and Seafood Merchant Wholesalers,100-499 employees,28
424460,Fish and Seafood Merchant Wholesalers,500+ employees,13
42447,Meat and Meat Product Merchant Wholesalers,1-4 employees,928
42447,Meat and Meat Product Merchant Wholesalers,4-9 employees,354
42447,Meat and Meat Product Merchant Wholesalers,10-19 employees,342
42447,Meat and Meat Product Merchant Wholesalers,20-99 employees,331
42447,Meat and Meat Product Merchant Wholesalers,100-499 employees,61
42447,Meat and Meat Product Merchant Wholesalers,500+ employees,50
424470,Meat and Meat Product Merchant Wholesalers,1-4 employees,928
424470,Meat and Meat Product Merchant Wholesalers,4-9 employees,354
424470,Meat and Meat Product Merchant Wholesalers,10-19 employees,342
424470,Meat and Meat Product Merchant Wholesalers,20-99 employees,331
424470,Meat and Meat Product Merchant Wholesalers,100-499 employees,61
424470,Meat and Meat Product Merchant Wholesalers,500+ employees,50
42448,Fresh Fruit and Vegetable Merchant Wholesalers,1-4 employees,2169
42448,Fresh Fruit and Vegetable Merchant Wholesalers,4-9 employees,754
42448,Fresh Fruit and Vegetable Merchant Wholesalers,10-19 employees,541
42448,Fresh Fruit and Vegetable Merchant Wholesalers,20-99 employees,696
42448,Fresh Fruit and Vegetable Merchant Wholesalers,100-499 employees,193
42448,Fresh Fruit and Vegetable Merchant Wholesalers,500+ employees,51
424480,Fresh Fruit and Vegetable Merchant Wholesalers,1-4 employees,2169
424480,Fresh Fruit and Vegetable Merchant Wholesalers,4-9 employees,754
424480,Fresh Fruit and Vegetable Merchant Wholesalers,10-19 employees,541
424480,Fresh Fruit and Vegetable Merchant Wholesalers,20-99 employees,696
424480,Fresh Fruit and Vegetable Merchant Wholesalers,100-499 employees,193
424480,Fresh Fruit and Vegetable Merchant Wholesalers,500+ employees,51
42449,Other Grocery and Related Products Merchant Wholesalers,1-4 employees,6657
42449,Other Grocery and Related Products Merchant Wholesalers,4-9 employees,1559
42449,Other Grocery and Related Products Merchant Wholesalers,10-19 employees,1025
42449,Other Grocery and Related Products Merchant Wholesalers,20-99 employees,1058
42449,Other Grocery and Related Products Merchant Wholesalers,100-499 employees,290
42449,Other Grocery and Related Products Merchant Wholesalers,500+ employees,192
424490,Other Grocery and Related Products Merchant Wholesalers,1-4 employees,6657
424490,Other Grocery and Related Products Merchant Wholesalers,4-9 employees,1559
424490,Other Grocery and Related Products Merchant Wholesalers,10-19 employees,1025
424490,Other Grocery and Related Products Merchant Wholesalers,20-99 employees,1058
424490,Other Grocery and Related Products Merchant Wholesalers,100-499 employees,290
424490,Other Grocery and Related Products Merchant Wholesalers,500+ employees,192
4245,Farm Product Raw Material Merchant Wholesalers,1-4 employees,1527
4245,Farm Product Raw Material Merchant Wholesalers,4-9 employees,610
4245,Farm Product Raw Material Merchant Wholesalers,10-19 employees,500
4245,Farm Product Raw Material Merchant Wholesalers,20-99 employees,490
4245,Farm Product Raw Material Merchant Wholesalers,100-499 employees,151
4245,Farm Product Raw Material Merchant Wholesalers,500+ employees,70
42451,Grain and Field Bean Merchant Wholesalers,1-4 employees,675
42451,Grain and Field Bean Merchant Wholesalers,4-9 employees,381
42451,Grain and Field Bean Merchant Wholesalers,10-19 employees,338
42451,Grain and Field Bean Merchant Wholesalers,20-99 employees,335
42451,Grain and Field Bean Merchant Wholesalers,100-499 employees,128
42451,Grain and Field Bean Merchant Wholesalers,500+ employees,56
424510,Grain and Field Bean Merchant Wholesalers,1-4 employees,675
424510,Grain and Field Bean Merchant Wholesalers,4-9 employees,381
424510,Grain and Field Bean Merchant Wholesalers,10-19 employees,338
424510,Grain and Field Bean Merchant Wholesalers,20-99 employees,335
424510,Grain and Field Bean Merchant Wholesalers,100-499 employees,128
424510,Grain and Field Bean Merchant Wholesalers,500+ employees,56
42452,Livestock Merchant Wholesalers,1-4 employees,313
42452,Livestock Merchant Wholesalers,4-9 employees,85
42452,Livestock Merchant Wholesalers,10-19 employees,79
42452,Livestock Merchant Wholesalers,20-99 employees,73
42452,Livestock Merchant Wholesalers,100-499 employees,7
42452,Livestock Merchant Wholesalers,500+ employees,3
424520,Livestock Merchant Wholesalers,1-4 employees,313
424520,Livestock Merchant Wholesalers,4-9 employees,85
424520,Livestock Merchant Wholesalers,10-19 employees,79
424520,Livestock Merchant Wholesalers,20-99 employees,73
424520,Livestock Merchant Wholesalers,100-499 employees,7
424520,Livestock Merchant Wholesalers,500+ employees,3
42459,Other Farm Product Raw Material Merchant Wholesalers,1-4 employees,539
42459,Other Farm Product Raw Material Merchant Wholesalers,4-9 employees,144
42459,Other Farm Product Raw Material Merchant Wholesalers,10-19 employees,83
42459,Other Farm Product Raw Material Merchant Wholesalers,20-99 employees,82
42459,Other Farm Product Raw Material Merchant Wholesalers,100-499 employees,19
42459,Other Farm Product Raw Material Merchant Wholesalers,500+ employees,17
424590,Other Farm Product Raw Material Merchant Wholesalers,1-4 employees,539
424590,Other Farm Product Raw Material Merchant Wholesalers,4-9 employees,144
424590,Other Farm Product Raw Material Merchant Wholesalers,10-19 employees,83
424590,Other Farm Product Raw Material Merchant Wholesalers,20-99 employees,82
424590,Other Farm Product Raw Material Merchant Wholesalers,100-499 employees,19
424590,Other Farm Product Raw Material Merchant Wholesalers,500+ employees,17
4246,Chemical and Allied Products Merchant Wholesalers,1-4 employees,3877
4246,Chemical and Allied Products Merchant Wholesalers,4-9 employees,1263
4246,Chemical and Allied Products Merchant Wholesalers,10-19 employees,930
4246,Chemical and Allied Products Merchant Wholesalers,20-99 employees,924
4246,Chemical and Allied Products Merchant Wholesalers,100-499 employees,266
4246,Chemical and Allied Products Merchant Wholesalers,500+ employees,228
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,1-4 employees,956
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,4-9 employees,317
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,10-19 employees,252
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,20-99 employees,252
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,100-499 employees,80
42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,500+ employees,81
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,1-4 employees,956
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,4-9 employees,317
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,10-19 employees,252
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,20-99 employees,252
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,100-499 employees,80
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,500+ employees,81
42469,Other Chemical and Allied Products Merchant Wholesalers,1-4 employees,2921
42469,Other Chemical and Allied Products Merchant Wholesalers,4-9 employees,946
42469,Other Chemical and Allied Products Merchant Wholesalers,10-19 employees,679
42469,Other Chemical and Allied Products Merchant Wholesalers,20-99 employees,676
42469,Other Chemical and Allied Products Merchant Wholesalers,100-499 employees,193
42469,Other Chemical and Allied Products Merchant Wholesalers,500+ employees,167
424690,Other Chemical and Allied Products Merchant Wholesalers,1-4 employees,2921
424690,Other Chemical and Allied Products Merchant Wholesalers,4-9 employees,946
424690,Other Chemical and Allied Products Merchant Wholesalers,10-19 employees,679
424690,Other Chemical and Allied Products Merchant Wholesalers,20-99 employees,676
424690,Other Chemical and Allied Products Merchant Wholesalers,100-499 employees,193
424690,Other Chemical and Allied Products Merchant Wholesalers,500+ employees,167
4247,Petroleum and Petroleum Products Merchant Wholesalers,1-4 employees,1257
4247,Petroleum and Petroleum Products Merchant Wholesalers,4-9 employees,680
4247,Petroleum and Petroleum Products Merchant Wholesalers,10-19 employees,516
4247,Petroleum and Petroleum Products Merchant Wholesalers,20-99 employees,740
4247,Petroleum and Petroleum Products Merchant Wholesalers,100-499 employees,303
4247,Petroleum and Petroleum Products Merchant Wholesalers,500+ employees,165
42471,Petroleum Bulk Stations and Terminals,1-4 employees,449
42471,Petroleum Bulk Stations and Terminals,4-9 employees,394
42471,Petroleum Bulk Stations and Terminals,10-19 employees,323
42471,Petroleum Bulk Stations and Terminals,20-99 employees,523
42471,Petroleum Bulk Stations and Terminals,100-499 employees,228
42471,Petroleum Bulk Stations and Terminals,500+ employees,126
424710,Petroleum Bulk Stations and Terminals,1-4 employees,449
424710,Petroleum Bulk Stations and Terminals,4-9 employees,394
424710,Petroleum Bulk Stations and Terminals,10-19 employees,323
424710,Petroleum Bulk Stations and Terminals,20-99 employees,523
424710,Petroleum Bulk Stations and Terminals,100-499 employees,228
424710,Petroleum Bulk Stations and Terminals,500+ employees,126
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),1-4 employees,811
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),4-9 employees,287
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),10-19 employees,203
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),20-99 employees,268
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),100-499 employees,110
42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),500+ employees,107
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),1-4 employees,811
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),4-9 employees,287
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),10-19 employees,203
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),20-99 employees,268
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),100-499 employees,110
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),500+ employees,107
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",1-4 employees,1681
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",4-9 employees,485
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",10-19 employees,396
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",20-99 employees,627
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",100-499 employees,328
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",500+ employees,78
42481,Beer and Ale Merchant Wholesalers,1-4 employees,439
42481,Beer and Ale Merchant Wholesalers,4-9 employees,130
42481,Beer and Ale Merchant Wholesalers,10-19 employees,152
42481,Beer and Ale Merchant Wholesalers,20-99 employees,402
42481,Beer and Ale Merchant Wholesalers,100-499 employees,253
42481,Beer and Ale Merchant Wholesalers,500+ employees,44
424810,Beer and Ale Merchant Wholesalers,1-4 employees,439
424810,Beer and Ale Merchant Wholesalers,4-9 employees,130
424810,Beer and Ale Merchant Wholesalers,10-19 employees,152
424810,Beer and Ale Merchant Wholesalers,20-99 employees,402
424810,Beer and Ale Merchant Wholesalers,100-499 employees,253
424810,Beer and Ale Merchant Wholesalers,500+ employees,44
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1-4 employees,1242
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,4-9 employees,355
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,10-19 employees,244
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,20-99 employees,226
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,100-499 employees,80
42482,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,500+ employees,44
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,1-4 employees,1242
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,4-9 employees,355
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,10-19 employees,244
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,20-99 employees,226
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,100-499 employees,80
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,500+ employees,44
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,1-4 employees,12727
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,4-9 employees,3319
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,10-19 employees,2099
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,20-99 employees,1965
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,100-499 employees,591
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,500+ employees,235
42491,Farm Supplies Merchant Wholesalers,1-4 employees,2500
42491,Farm Supplies Merchant Wholesalers,4-9 employees,840
42491,Farm Supplies Merchant Wholesalers,10-19 employees,579
42491,Farm Supplies Merchant Wholesalers,20-99 employees,645
42491,Farm Supplies Merchant Wholesalers,100-499 employees,236
42491,Farm Supplies Merchant Wholesalers,500+ employees,80
424910,Farm Supplies Merchant Wholesalers,1-4 employees,2500
424910,Farm Supplies Merchant Wholesalers,4-9 employees,840
424910,Farm Supplies Merchant Wholesalers,10-19 employees,579
424910,Farm Supplies Merchant Wholesalers,20-99 employees,645
424910,Farm Supplies Merchant Wholesalers,100-499 employees,236
424910,Farm Supplies Merchant Wholesalers,500+ employees,80
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",1-4 employees,648
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",4-9 employees,138
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",10-19 employees,104
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",20-99 employees,83
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",100-499 employees,38
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",500+ employees,24
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",1-4 employees,648
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",4-9 employees,138
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",10-19 employees,104
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",20-99 employees,83
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",100-499 employees,38
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",500+ employees,24
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",1-4 employees,1342
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",4-9 employees,486
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",10-19 employees,372
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",20-99 employees,381
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",100-499 employees,73
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",500+ employees,20
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",1-4 employees,1342
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",4-9 employees,486
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",10-19 employees,372
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",20-99 employees,381
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",100-499 employees,73
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",500+ employees,20
42494,Tobacco and Tobacco Product Merchant Wholesalers,1-4 employees,719
42494,Tobacco and Tobacco Product Merchant Wholesalers,4-9 employees,217
42494,Tobacco and Tobacco Product Merchant Wholesalers,10-19 employees,175
42494,Tobacco and Tobacco Product Merchant Wholesalers,20-99 employees,149
42494,Tobacco and Tobacco Product Merchant Wholesalers,100-499 employees,62
42494,Tobacco and Tobacco Product Merchant Wholesalers,500+ employees,21
424940,Tobacco and Tobacco Product Merchant Wholesalers,1-4 employees,719
424940,Tobacco and Tobacco Product Merchant Wholesalers,4-9 employees,217
424940,Tobacco and Tobacco Product Merchant Wholesalers,10-19 employees,175
424940,Tobacco and Tobacco Product Merchant Wholesalers,20-99 employees,149
424940,Tobacco and Tobacco Product Merchant Wholesalers,100-499 employees,62
424940,Tobacco and Tobacco Product Merchant Wholesalers,500+ employees,21
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",1-4 employees,449
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",4-9 employees,179
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",10-19 employees,125
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",20-99 employees,125
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",100-499 employees,37
42495,"Paint, Varnish, and Supplies Merchant Wholesalers",500+ employees,25
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",1-4 employees,449
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",4-9 employees,179
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",10-19 employees,125
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",20-99 employees,125
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",100-499 employees,37
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",500+ employees,25
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,1-4 employees,7069
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,4-9 employees,1460
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,10-19 employees,748
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,20-99 employees,592
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,100-499 employees,156
42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,500+ employees,86
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,1-4 employees,7069
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,4-9 employees,1460
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,10-19 employees,748
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,20-99 employees,592
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,100-499 employees,156
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,500+ employees,86
425,Wholesale Electronic Markets and Agents and Brokers,1-4 employees,27684
425,Wholesale Electronic Markets and Agents and Brokers,4-9 employees,3572
425,Wholesale Electronic Markets and Agents and Brokers,10-19 employees,1717
425,Wholesale Electronic Markets and Agents and Brokers,20-99 employees,1269
425,Wholesale Electronic Markets and Agents and Brokers,100-499 employees,168
425,Wholesale Electronic Markets and Agents and Brokers,500+ employees,114
4251,Wholesale Electronic Markets and Agents and Brokers,1-4 employees,27684
4251,Wholesale Electronic Markets and Agents and Brokers,4-9 employees,3572
4251,Wholesale Electronic Markets and Agents and Brokers,10-19 employees,1717
4251,Wholesale Electronic Markets and Agents and Brokers,20-99 employees,1269
4251,Wholesale Electronic Markets and Agents and Brokers,100-499 employees,168
4251,Wholesale Electronic Markets and Agents and Brokers,500+ employees,114
42511,Business to Business Electronic Markets,1-4 employees,295
42511,Business to Business Electronic Markets,4-9 employees,36
42511,Business to Business Electronic Markets,10-19 employees,17
42511,Business to Business Electronic Markets,20-99 employees,12
42511,Business to Business Electronic Markets,100-499 employees,4
42511,Business to Business Electronic Markets,500+ employees,6
425110,Business to Business Electronic Markets,1-4 employees,295
425110,Business to Business Electronic Markets,4-9 employees,36
425110,Business to Business Electronic Markets,10-19 employees,17
425110,Business to Business Electronic Markets,20-99 employees,12
425110,Business to Business Electronic Markets,100-499 employees,4
425110,Business to Business Electronic Markets,500+ employees,6
42512,Wholesale Trade Agents and Brokers,1-4 employees,27390
42512,Wholesale Trade Agents and Brokers,4-9 employees,3536
42512,Wholesale Trade Agents and Brokers,10-19 employees,1700
42512,Wholesale Trade Agents and Brokers,20-99 employees,1258
42512,Wholesale Trade Agents and Brokers,100-499 employees,164
42512,Wholesale Trade Agents and Brokers,500+ employees,110
425120,Wholesale Trade Agents and Brokers,1-4 employees,27390
425120,Wholesale Trade Agents and Brokers,4-9 employees,3536
425120,Wholesale Trade Agents and Brokers,10-19 employees,1700
425120,Wholesale Trade Agents and Brokers,20-99 employees,1258
425120,Wholesale Trade Agents and Brokers,100-499 employees,164
425120,Wholesale Trade Agents and Brokers,500+ employees,110
441,Motor Vehicle and Parts Dealers,1-4 employees,39835
441,Motor Vehicle and Parts Dealers,4-9 employees,13790
441,Motor Vehicle and Parts Dealers,10-19 employees,8525
441,Motor Vehicle and Parts Dealers,20-99 employees,12956
441,Motor Vehicle and Parts Dealers,100-499 employees,2806
441,Motor Vehicle and Parts Dealers,500+ employees,327
4411,Automobile Dealers,1-4 employees,20228
4411,Automobile Dealers,4-9 employees,4692
4411,Automobile Dealers,10-19 employees,3000
4411,Automobile Dealers,20-99 employees,9717
4411,Automobile Dealers,100-499 employees,2463
4411,Automobile Dealers,500+ employees,216
44111,New Car Dealers,1-4 employees,3047
44111,New Car Dealers,4-9 employees,959
44111,New Car Dealers,10-19 employees,1415
44111,New Car Dealers,20-99 employees,8848
44111,New Car Dealers,100-499 employees,2402
44111,New Car Dealers,500+ employees,191
441110,New Car Dealers,1-4 employees,3047
441110,New Car Dealers,4-9 employees,959
441110,New Car Dealers,10-19 employees,1415
441110,New Car Dealers,20-99 employees,8848
441110,New Car Dealers,100-499 employees,2402
441110,New Car Dealers,500+ employees,191
44112,Used Car Dealers,1-4 employees,17183
44112,Used Car Dealers,4-9 employees,3736
44112,Used Car Dealers,10-19 employees,1592
44112,Used Car Dealers,20-99 employees,972
44112,Used Car Dealers,100-499 employees,183
44112,Used Car Dealers,500+ employees,47
441120,Used Car Dealers,1-4 employees,17183
441120,Used Car Dealers,4-9 employees,3736
441120,Used Car Dealers,10-19 employees,1592
441120,Used Car Dealers,20-99 employees,972
441120,Used Car Dealers,100-499 employees,183
441120,Used Car Dealers,500+ employees,47
4412,Other Motor Vehicle Dealers,1-4 employees,5195
4412,Other Motor Vehicle Dealers,4-9 employees,2401
4412,Other Motor Vehicle Dealers,10-19 employees,2097
4412,Other Motor Vehicle Dealers,20-99 employees,1763
4412,Other Motor Vehicle Dealers,100-499 employees,136
4412,Other Motor Vehicle Dealers,500+ employees,34
44121,Recreational Vehicle Dealers,1-4 employees,784
44121,Recreational Vehicle Dealers,4-9 employees,428
44121,Recreational Vehicle Dealers,10-19 employees,421
44121,Recreational Vehicle Dealers,20-99 employees,432
44121,Recreational Vehicle Dealers,100-499 employees,62
44121,Recreational Vehicle Dealers,500+ employees,9
441210,Recreational Vehicle Dealers,1-4 employees,784
441210,Recreational Vehicle Dealers,4-9 employees,428
441210,Recreational Vehicle Dealers,10-19 employees,421
441210,Recreational Vehicle Dealers,20-99 employees,432
441210,Recreational Vehicle Dealers,100-499 employees,62
441210,Recreational Vehicle Dealers,500+ employees,9
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",1-4 employees,4411
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",4-9 employees,1973
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",10-19 employees,1676
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",20-99 employees,1332
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",100-499 employees,77
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers",500+ employees,25
441222,Boat Dealers,1-4 employees,1830
441222,Boat Dealers,4-9 employees,738
441222,Boat Dealers,10-19 employees,606
441222,Boat Dealers,20-99 employees,341
441222,Boat Dealers,100-499 employees,25
441222,Boat Dealers,500+ employees,8
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",1-4 employees,2581
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",4-9 employees,1235
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",10-19 employees,1071
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",20-99 employees,995
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",100-499 employees,53
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",500+ employees,17
4413,"Automotive Parts, Accessories, and Tire Stores",1-4 employees,14412
4413,"Automotive Parts, Accessories, and Tire Stores",4-9 employees,6703
4413,"Automotive Parts, Accessories, and Tire Stores",10-19 employees,3438
4413,"Automotive Parts, Accessories, and Tire Stores",20-99 employees,1521
4413,"Automotive Parts, Accessories, and Tire Stores",100-499 employees,249
4413,"Automotive Parts, Accessories, and Tire Stores",500+ employees,107
44131,Automotive Parts and Accessories Stores,1-4 employees,8624
44131,Automotive Parts and Accessories Stores,4-9 employees,3880
44131,Automotive Parts and Accessories Stores,10-19 employees,1817
44131,Automotive Parts and Accessories Stores,20-99 employees,905
44131,Automotive Parts and Accessories Stores,100-499 employees,151
44131,Automotive Parts and Accessories Stores,500+ employees,74
441310,Automotive Parts and Accessories Stores,1-4 employees,8624
441310,Automotive Parts and Accessories Stores,4-9 employees,3880
441310,Automotive Parts and Accessories Stores,10-19 employees,1817
441310,Automotive Parts and Accessories Stores,20-99 employees,905
441310,Automotive Parts and Accessories Stores,100-499 employees,151
441310,Automotive Parts and Accessories Stores,500+ employees,74
44132,Tire Dealers,1-4 employees,5789
44132,Tire Dealers,4-9 employees,2825
44132,Tire Dealers,10-19 employees,1629
44132,Tire Dealers,20-99 employees,634
44132,Tire Dealers,100-499 employees,104
44132,Tire Dealers,500+ employees,46
441320,Tire Dealers,1-4 employees,5789
441320,Tire Dealers,4-9 employees,2825
441320,Tire Dealers,10-19 employees,1629
441320,Tire Dealers,20-99 employees,634
441320,Tire Dealers,100-499 employees,104
441320,Tire Dealers,500+ employees,46
442,Furniture and Home Furnishings Stores,1-4 employees,17406
442,Furniture and Home Furnishings Stores,4-9 employees,6697
442,Furniture and Home Furnishings Stores,10-19 employees,3488
442,Furniture and Home Furnishings Stores,20-99 employees,1780
442,Furniture and Home Furnishings Stores,100-499 employees,249
442,Furniture and Home Furnishings Stores,500+ employees,124
4421,Furniture Stores,1-4 employees,6870
4421,Furniture Stores,4-9 employees,2908
4421,Furniture Stores,10-19 employees,1801
4421,Furniture Stores,20-99 employees,998
4421,Furniture Stores,100-499 employees,150
4421,Furniture Stores,500+ employees,75
44211,Furniture Stores,1-4 employees,6870
44211,Furniture Stores,4-9 employees,2908
44211,Furniture Stores,10-19 employees,1801
44211,Furniture Stores,20-99 employees,998
44211,Furniture Stores,100-499 employees,150
44211,Furniture Stores,500+ employees,75
442110,Furniture Stores,1-4 employees,6870
442110,Furniture Stores,4-9 employees,2908
442110,Furniture Stores,10-19 employees,1801
442110,Furniture Stores,20-99 employees,998
442110,Furniture Stores,100-499 employees,150
442110,Furniture Stores,500+ employees,75
4422,Home Furnishings Stores,1-4 employees,10537
4422,Home Furnishings Stores,4-9 employees,3795
4422,Home Furnishings Stores,10-19 employees,1691
4422,Home Furnishings Stores,20-99 employees,801
4422,Home Furnishings Stores,100-499 employees,103
4422,Home Furnishings Stores,500+ employees,58
